,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
73,2.0,1,32,4.0,6,0,0,44,0
74,2.0,1,50,3.0,14,0,0,52,0
75,3.0,1,38,4.0,2,1,0,49,1
76,2.0,2,29,1.0,5,0,0,51,0
77,2.0,1,35,4.0,3,1,0,53,0
78,2.0,1,25,3.0,2,1,0,91,0
79,2.0,1,30,3.0,3,0,0,58,1
80,2.0,1,47,3.0,7,0,0,79,0
81,3.0,1,35,2.0,7,0,0,53,0
83,2.0,1,36,4.0,8,0,0,82,0
85,3.0,1,42,5.0,11,1,0,60,1
86,2.0,1,28,2.0,6,0,0,52,0
88,3.0,1,32,5.0,3,1,0,69,1
91,2.0,1,34,3.0,8,0,0,85,0
92,3.0,2,46,4.0,3,1,0,74,0
93,3.0,1,47,3.0,7,0,0,44,0
94,2.0,1,44,4.0,13,0,0,53,0
95,2.0,1,31,4.0,4,1,0,86,0
97,2.0,1,33,3.0,5,0,0,57,0
98,2.0,1,41,3.0,12,1,0,52,0
99,3.0,1,60,5.0,17,0,0,59,0
100,2.0,1,31,5.0,4,1,0,63,1
101,2.0,1,37,3.0,11,0,0,57,0
102,2.0,2,39,3.0,4,1,0,83,0
103,2.0,1,40,5.0,8,1,0,54,0
104,3.0,1,42,5.0,4,0,0,50,0
105,2.0,1,35,4.0,6,1,0,57,1
106,3.0,1,41,4.0,6,1,0,62,0
107,2.0,1,23,3.0,2,0,0,73,0
108,2.0,2,31,3.0,4,0,0,50,0
109,3.0,1,42,2.0,19,0,0,79,0
110,2.0,3,29,4.0,2,0,0,49,0
112,2.0,1,41,4.0,6,1,0,63,0
113,2.0,1,40,3.0,2,1,0,90,1
114,2.0,1,34,5.0,5,0,0,49,0
115,2.0,1,31,4.0,2,0,0,46,0
116,2.0,1,27,5.0,2,0,0,86,1
117,2.0,4,30,3.0,2,0,0,72,0
118,2.0,1,27,4.0,4,1,0,72,1
119,2.0,4,36,4.0,7,0,0,82,0
120,2.0,1,35,4.0,6,0,0,77,0
121,3.0,1,34,5.0,7,1,0,51,1
122,3.0,1,37,5.0,3,0,1,92,1
124,3.0,2,47,3.0,5,1,0,71,0
126,3.0,1,40,5.0,5,0,0,68,0
128,3.0,1,38,5.0,9,1,0,61,0
129,2.0,1,30,3.0,2,0,0,47,0
130,2.0,1,28,5.0,3,0,0,46,0
131,2.0,2,28,5.0,4,1,0,67,0
132,2.0,1,35,4.0,7,0,0,58,0
133,2.0,1,32,3.0,8,0,0,89,1
134,3.0,1,36,5.0,8,0,0,50,0
136,2.0,1,27,3.0,4,1,0,78,0
137,3.0,2,34,3.0,7,0,0,56,0
138,2.0,1,31,4.0,4,1,1,78,0
139,2.0,1,30,4.0,2,0,0,77,0
140,2.0,2,30,3.0,7,1,1,76,0
142,2.0,1,30,5.0,3,1,0,84,0
143,2.0,1,28,3.0,2,0,0,57,0
144,2.0,2,28,3.0,5,0,0,81,0
145,2.0,1,29,3.0,2,0,0,51,0
146,3.0,1,46,3.0,11,1,0,51,0
147,2.0,1,31,5.0,4,1,0,80,0
148,2.0,1,28,1.0,4,0,0,72,0
149,3.0,1,31,4.0,6,0,0,50,0
150,3.0,1,37,3.0,9,0,0,48,0
151,2.0,2,34,5.0,8,0,0,88,1
152,2.0,1,25,5.0,3,1,0,70,1
153,3.0,1,40,4.0,4,1,0,57,0
154,3.0,1,43,3.0,7,1,0,56,1
155,2.0,1,36,1.0,5,0,0,56,0
156,2.0,1,29,3.0,3,0,0,63,0
157,2.0,2,35,3.0,2,0,0,56,0
158,3.0,1,34,5.0,2,0,0,84,0
159,2.0,1,32,4.0,4,1,0,45,0
161,2.0,1,29,3.0,5,0,0,75,0
162,2.0,1,34,1.0,4,0,0,48,0
163,3.0,1,37,5.0,7,1,0,70,0
164,2.0,1,33,3.0,3,1,0,73,0
165,3.0,1,33,5.0,4,1,0,67,0
166,2.0,1,39,1.0,8,0,0,45,0
167,3.0,1,34,4.0,7,0,0,82,0
168,2.0,2,32,4.0,6,0,0,84,0
169,3.0,1,34,4.0,6,0,0,53,0
170,2.0,1,29,5.0,6,1,0,61,0
171,2.0,2,28,1.0,2,0,0,50,0
172,2.0,1,28,2.0,5,0,0,75,0
173,3.0,2,35,3.0,9,0,0,70,0
174,2.0,2,40,3.0,3,0,0,86,0
175,2.0,2,27,2.0,4,0,0,54,0
176,2.0,3,26,3.0,3,1,0,70,0
177,2.0,1,43,2.0,12,0,0,57,0
179,2.0,1,29,5.0,6,1,0,84,0
180,2.0,1,43,3.0,15,0,0,51,0
181,2.0,3,27,4.0,4,0,0,49,0
182,2.0,1,26,4.0,4,1,0,70,0
183,2.0,1,31,5.0,5,1,0,72,0
184,2.0,1,40,4.0,11,0,0,58,0
185,2.0,2,39,5.0,12,1,0,55,0
186,2.0,2,30,3.0,6,0,0,57,0
187,3.0,1,47,4.0,4,1,0,77,0
188,2.0,1,34,4.0,7,1,0,48,1
190,3.0,1,41,5.0,7,0,0,51,0
191,2.0,1,29,1.0,4,0,0,80,0
192,2.0,1,32,3.0,4,0,0,86,0
193,3.0,1,47,5.0,9,0,0,68,0
194,2.0,1,35,4.0,3,0,0,65,0
195,2.0,1,27,4.0,2,0,0,75,0
196,2.0,1,29,1.0,3,0,0,81,0
197,2.0,2,36,3.0,9,0,0,49,0
198,2.0,2,35,1.0,8,0,0,39,0
199,2.0,2,34,3.0,2,0,0,70,0
200,3.0,1,34,4.0,5,1,1,94,1
201,3.0,1,39,3.0,2,1,0,60,0
202,2.0,1,26,5.0,2,1,0,51,0
203,2.0,1,30,5.0,4,0,0,56,0
205,3.0,1,44,5.0,6,0,0,48,0
206,2.0,1,38,3.0,4,1,0,49,0
207,2.0,1,40,1.0,3,0,0,78,0
208,3.0,1,50,5.0,6,0,1,58,0
209,3.0,1,44,3.0,12,0,0,70,0
210,1.0,1,23,1.0,2,0,0,69,0
211,3.0,1,36,1.0,2,0,0,53,0
212,2.0,1,25,1.0,4,0,0,80,0
213,2.0,1,34,5.0,4,1,0,58,0
215,2.0,2,30,5.0,6,1,0,81,0
216,2.0,1,35,1.0,8,0,0,67,0
217,2.0,1,33,4.0,8,0,0,86,0
218,3.0,1,30,3.0,4,1,0,80,0
219,2.0,2,27,5.0,3,1,0,85,0
221,2.0,1,43,3.0,3,0,0,58,0
222,2.0,2,28,3.0,5,1,0,86,0
223,2.0,1,31,5.0,3,1,0,68,0
224,2.0,1,43,4.0,12,0,0,58,0
225,2.0,1,35,5.0,9,1,0,60,0
226,2.0,2,35,3.0,9,0,0,49,0
227,3.0,1,50,3.0,8,1,0,59,0
228,2.0,1,26,4.0,3,0,0,50,0
229,2.0,1,32,3.0,5,1,0,52,0
230,3.0,1,38,5.0,2,1,1,93,1
233,2.0,1,37,3.0,9,0,0,69,0
234,2.0,2,54,3.0,9,1,0,86,0
235,2.0,1,36,3.0,8,0,0,51,0
236,2.0,1,35,3.0,8,0,0,78,0
237,2.0,1,39,3.0,4,1,0,85,0
238,2.0,1,31,5.0,4,1,0,63,0
239,2.0,2,38,3.0,7,1,1,60,0
240,2.0,1,28,1.0,2,0,0,48,0
241,2.0,3,26,2.0,3,0,0,52,0
243,2.0,1,30,3.0,4,0,0,84,0
244,2.0,2,37,2.0,4,1,0,57,1
246,2.0,1,26,4.0,2,0,0,82,0
247,2.0,1,31,4.0,4,0,0,78,0
248,2.0,1,38,5.0,7,1,0,82,0
249,2.0,1,39,4.0,9,0,0,49,0
250,2.0,1,30,5.0,4,0,1,50,0
251,3.0,1,34,5.0,8,1,0,67,0
252,3.0,1,33,3.0,5,1,0,72,0
253,2.0,1,29,5.0,3,1,0,78,0
254,2.0,1,28,4.0,2,1,0,61,0
256,2.0,2,26,4.0,2,1,0,87,0
257,2.0,1,34,5.0,4,0,0,64,0
258,2.0,1,35,3.0,7,0,0,46,0
259,3.0,1,43,3.0,14,0,0,79,0
260,2.0,1,34,1.0,8,0,0,39,0
261,3.0,2,38,3.0,10,0,0,88,0
262,2.0,1,34,1.0,5,0,0,54,0
263,2.0,1,41,4.0,4,0,0,63,0
264,2.0,2,29,1.0,4,0,0,61,0
265,2.0,1,33,4.0,3,0,0,61,0
266,3.0,1,41,4.0,5,1,0,48,0
267,3.0,3,38,3.0,11,0,0,57,0
268,3.0,2,54,4.0,23,0,0,66,0
269,3.0,2,34,2.0,8,0,0,49,0
270,2.0,2,26,5.0,3,1,0,87,0
271,2.0,1,35,5.0,3,0,0,59,0
273,3.0,1,36,3.0,4,0,0,60,0
274,2.0,1,45,3.0,15,0,0,87,0
275,3.0,1,38,4.0,7,0,0,66,0
276,2.0,1,26,2.0,4,0,0,47,0
278,2.0,1,32,3.0,7,0,0,87,0
279,2.0,1,29,4.0,4,0,0,78,0
280,2.0,1,40,3.0,12,0,0,50,0
281,2.0,2,29,4.0,6,0,0,75,0
282,2.0,2,31,5.0,7,1,0,87,0
283,2.0,1,32,5.0,6,1,0,58,0
284,2.0,1,42,5.0,11,0,0,67,0
285,2.0,1,30,5.0,3,1,0,65,0
286,2.0,1,24,3.0,2,1,0,70,0
287,2.0,1,35,3.0,7,0,0,56,0
288,2.0,2,32,1.0,3,0,0,80,0
289,2.0,1,22,3.0,2,0,0,47,0
290,2.0,2,44,5.0,14,0,0,48,0
291,2.0,2,39,3.0,9,0,0,58,0
292,2.0,1,46,4.0,17,0,0,85,0
293,2.0,1,29,2.0,5,0,0,77,0
294,2.0,1,26,1.0,3,0,0,59,0
295,2.0,1,35,4.0,5,0,0,61,0
296,2.0,1,29,4.0,2,1,0,95,1
297,2.0,1,30,2.0,9,0,0,79,0
298,2.0,1,45,4.0,5,0,0,50,0
299,2.0,1,30,1.0,6,0,0,47,0
300,2.0,1,28,2.0,4,0,0,59,0
301,3.0,1,46,5.0,10,1,0,76,0
302,2.0,1,27,2.0,2,0,0,69,0
303,2.0,1,34,2.0,5,0,0,47,0
304,2.0,2,32,5.0,3,1,0,86,0
305,2.0,1,35,5.0,10,0,0,63,0
306,2.0,1,36,4.0,3,1,0,66,0
307,3.0,1,58,1.0,13,0,0,70,0
308,2.0,1,29,4.0,4,0,0,57,0
309,2.0,1,33,3.0,3,1,0,67,0
310,2.0,1,32,5.0,6,0,0,62,0
311,1.0,1,25,5.0,2,1,0,59,0
312,2.0,4,41,2.0,9,0,0,68,0
314,3.0,1,50,1.0,7,0,1,79,0
315,2.0,1,30,1.0,7,0,0,53,0
317,3.0,1,40,5.0,5,0,1,83,1
318,1.0,1,26,3.0,2,0,0,61,0
319,2.0,1,35,5.0,8,1,0,81,0
320,3.0,1,37,3.0,7,1,0,52,0
321,3.0,1,34,3.0,3,0,0,75,1
322,2.0,1,25,3.0,2,0,0,57,0
324,2.0,2,26,5.0,2,1,0,68,1
325,2.0,1,31,4.0,7,1,0,80,0
326,2.0,4,31,5.0,3,1,0,60,0
327,2.0,1,32,3.0,6,1,0,86,0
328,2.0,1,36,5.0,8,0,0,48,0
329,2.0,1,57,3.0,19,0,0,81,0
330,2.0,1,42,4.0,9,0,0,51,0
331,2.0,1,28,3.0,3,0,0,48,0
332,2.0,2,33,4.0,3,1,0,86,0
333,2.0,1,41,3.0,3,0,0,86,0
335,2.0,1,32,5.0,5,0,1,84,1
337,3.0,1,41,3.0,7,0,0,58,0
338,3.0,1,31,5.0,4,1,0,82,0
339,2.0,1,37,4.0,5,0,0,54,0
340,2.0,1,30,1.0,4,0,0,84,0
341,1.0,1,26,5.0,2,1,0,60,0
342,2.0,1,44,5.0,11,0,0,42,0
343,2.0,1,44,3.0,10,0,0,60,0
344,3.0,1,30,4.0,2,1,0,96,1
345,1.0,1,24,3.0,2,0,0,59,0
346,2.0,1,40,1.0,10,0,0,49,0
347,3.0,1,32,3.0,5,0,0,80,0
348,2.0,1,40,5.0,7,0,0,53,0
349,1.0,2,24,4.0,3,1,0,78,0
350,2.0,1,45,4.0,15,0,0,64,1
351,2.0,1,34,5.0,5,0,0,60,1
353,2.0,1,35,3.0,7,0,0,82,0
355,2.0,1,35,2.0,8,0,0,48,0
356,2.0,1,31,1.0,2,0,0,81,0
357,2.0,1,33,3.0,5,0,0,60,0
358,3.0,1,44,3.0,14,0,0,47,0
360,2.0,2,34,2.0,10,0,0,69,0
361,2.0,1,37,5.0,2,0,0,54,0
362,2.0,2,31,3.0,4,0,0,63,0
363,2.0,1,32,3.0,8,0,0,69,0
364,2.0,1,33,5.0,7,1,0,57,0
366,2.0,2,37,5.0,4,1,0,57,0
367,2.0,1,30,2.0,5,0,0,49,0
368,2.0,1,35,5.0,3,1,0,81,0
369,2.0,1,32,3.0,4,0,0,80,0
370,2.0,1,45,3.0,9,0,0,61,0
372,2.0,2,31,3.0,4,0,0,53,0
373,2.0,2,34,3.0,8,0,0,80,0
375,3.0,1,31,5.0,7,1,0,59,0
376,3.0,1,37,3.0,6,1,0,47,0
377,3.0,1,42,3.0,12,0,0,48,0
378,3.0,1,40,3.0,6,0,0,72,0
379,2.0,1,37,5.0,5,1,0,64,0
380,2.0,1,50,3.0,8,0,0,57,0
382,3.0,1,57,3.0,13,0,0,53,0
383,3.0,2,42,2.0,10,0,0,46,0
384,3.0,1,34,3.0,8,0,0,61,0
385,2.0,1,34,5.0,8,1,0,54,0
387,3.0,1,32,4.0,7,1,0,59,0
388,2.0,1,27,5.0,2,0,0,61,0
390,3.0,1,46,3.0,17,0,0,83,0
391,3.0,1,37,3.0,10,1,0,49,1
392,2.0,1,48,4.0,13,0,0,52,0
393,2.0,1,40,5.0,12,1,0,84,0
394,2.0,1,32,3.0,6,0,0,73,0
395,2.0,1,33,1.0,7,0,0,48,0
396,2.0,1,35,3.0,6,0,0,66,0
398,3.0,1,32,3.0,4,0,0,86,0
399,2.0,4,31,3.0,6,0,0,59,0
400,2.0,1,40,4.0,13,0,0,60,0
401,3.0,1,43,2.0,7,0,0,70,0
402,3.0,1,38,3.0,6,0,0,60,0
403,2.0,1,36,5.0,8,0,0,49,0
404,3.0,1,49,5.0,20,1,0,65,0
405,2.0,1,32,1.0,4,0,0,50,0
406,2.0,2,26,3.0,2,0,0,91,0
407,2.0,1,55,3.0,18,0,0,87,0
408,3.0,1,35,3.0,5,0,0,50,0
409,3.0,1,36,4.0,6,1,0,59,0
410,2.0,1,29,5.0,4,1,0,45,0
411,2.0,1,46,3.0,19,1,0,72,0
412,2.0,2,30,3.0,4,0,0,84,0
413,2.0,1,51,5.0,19,0,0,40,0
414,3.0,1,37,3.0,7,0,0,54,0
417,2.0,1,31,3.0,7,0,0,51,0
418,3.0,2,38,4.0,9,1,0,65,0
419,3.0,1,43,1.0,10,0,0,45,0
420,2.0,3,29,3.0,4,0,0,81,0
421,3.0,1,30,3.0,2,0,0,79,0
422,2.0,1,49,5.0,22,1,0,50,0
423,3.0,1,49,4.0,5,0,0,90,0
424,3.0,1,36,2.0,5,0,0,48,0
425,3.0,1,33,1.0,3,0,0,71,0
426,3.0,3,52,3.0,25,0,0,49,0
428,2.0,1,37,3.0,11,0,0,56,0
429,1.0,1,25,3.0,3,0,0,61,0
431,3.0,1,37,4.0,13,0,0,79,0
432,2.0,1,35,5.0,10,1,0,59,1
433,2.0,1,33,3.0,4,1,0,76,1
434,2.0,1,33,5.0,9,1,0,71,0
435,2.0,1,59,3.0,28,0,0,78,0
437,2.0,1,38,2.0,8,0,0,59,0
438,2.0,1,48,4.0,13,0,0,57,0
439,2.0,1,31,3.0,1,1,0,62,0
440,3.0,1,32,1.0,5,0,0,77,0
441,2.0,3,24,3.0,2,0,0,63,0
442,3.0,2,37,5.0,5,1,0,77,0
443,2.0,1,32,5.0,8,1,0,46,1
444,2.0,1,31,3.0,2,0,0,48,0
445,2.0,2,45,3.0,5,1,1,61,0
446,2.0,1,57,5.0,6,0,0,45,0
447,3.0,2,39,2.0,8,0,0,59,0
448,3.0,1,42,1.0,4,0,0,70,0
449,2.0,1,45,3.0,4,0,1,65,1
450,3.0,1,41,3.0,3,1,0,61,0
451,3.0,1,41,1.0,11,0,0,74,0
452,3.0,1,34,1.0,7,0,0,50,0
453,2.0,1,47,5.0,18,0,0,52,0
454,3.0,1,33,5.0,7,1,0,51,0
455,3.0,1,48,3.0,15,0,0,69,1
456,2.0,1,34,4.0,3,0,0,60,0
457,3.0,1,35,5.0,4,1,0,47,0
458,3.0,1,35,5.0,4,1,0,84,0
459,2.0,2,26,3.0,2,0,0,79,0
460,3.0,1,45,3.0,17,0,0,49,0
461,3.0,1,31,3.0,1,0,0,54,0
462,2.0,1,30,5.0,7,0,0,49,0
463,2.0,1,46,1.0,5,0,0,50,0
464,2.0,1,60,5.0,4,1,0,56,0
465,2.0,1,44,5.0,11,1,0,55,0
466,3.0,3,35,3.0,3,0,0,86,0
467,2.0,2,33,2.0,6,0,0,52,0
468,2.0,1,38,4.0,8,1,0,55,0
469,3.0,1,39,3.0,5,0,0,80,0
470,2.0,1,30,3.0,2,0,0,50,0
472,2.0,1,57,4.0,3,0,0,50,0
473,2.0,1,34,1.0,7,0,0,50,0
474,2.0,1,38,3.0,4,1,0,66,0
476,3.0,1,45,3.0,16,0,0,87,1
477,3.0,1,40,1.0,11,0,0,53,0
478,2.0,2,32,3.0,3,0,0,70,0
479,2.0,2,29,3.0,2,0,0,48,0
480,2.0,1,39,4.0,11,0,0,59,0
481,2.0,1,32,3.0,7,0,0,80,0
482,3.0,2,57,4.0,7,1,0,58,0
483,2.0,1,36,3.0,4,1,0,72,0
484,2.0,1,34,1.0,5,0,0,46,0
485,3.0,1,33,5.0,7,1,0,50,0
486,3.0,1,39,2.0,4,1,0,81,0
487,2.0,2,32,4.0,8,0,0,59,0
488,2.0,1,31,3.0,6,0,0,77,0
489,2.0,1,31,1.0,7,1,0,52,0
490,2.0,1,25,3.0,3,0,0,68,0
491,2.0,1,43,5.0,4,1,0,50,0
493,3.0,1,50,1.0,16,0,0,68,0
494,3.0,3,32,3.0,4,1,0,64,1
495,2.0,1,28,3.0,2,0,0,59,0
496,2.0,1,32,1.0,5,0,0,51,0
497,2.0,1,34,5.0,5,0,0,49,0
498,2.0,1,30,5.0,4,0,0,55,0
499,3.0,1,33,5.0,6,0,0,74,1
500,3.0,2,46,4.0,19,1,0,70,0
501,2.0,1,35,4.0,10,1,0,50,1
502,2.0,1,33,5.0,8,1,0,59,1
503,2.0,1,30,4.0,4,0,0,59,0
504,2.0,2,33,5.0,4,1,0,71,0
505,2.0,1,28,4.0,5,0,0,52,0
506,3.0,1,38,3.0,8,0,0,84,0
507,2.0,1,34,2.0,7,1,0,49,1
509,2.0,2,30,3.0,5,0,0,73,0
510,2.0,1,29,2.0,7,0,0,60,0
511,2.0,1,30,3.0,3,0,0,83,0
512,2.0,1,38,4.0,10,0,0,50,0
513,2.0,3,40,3.0,11,0,0,60,0
515,3.0,1,53,4.0,25,0,0,47,0
516,2.0,1,26,3.0,2,0,0,49,0
519,2.0,1,28,3.0,4,0,0,65,0
520,2.0,1,30,3.0,3,0,0,51,0
521,3.0,1,59,4.0,4,1,0,56,0
523,2.0,1,31,3.0,4,0,0,83,0
524,2.0,1,26,3.0,2,0,0,69,0
525,3.0,1,37,3.0,10,0,0,62,0
526,2.0,1,25,3.0,1,0,0,62,0
527,2.0,1,27,2.0,3,1,0,78,0
528,3.0,1,39,4.0,10,0,0,60,0
529,2.0,1,36,5.0,3,1,0,91,1
530,3.0,2,35,5.0,6,1,0,91,1
533,3.0,1,37,5.0,9,1,0,75,0
534,3.0,2,35,1.0,9,0,0,80,0
535,3.0,1,30,1.0,5,0,0,54,0
536,2.0,1,30,5.0,1,0,0,96,1
537,2.0,1,45,4.0,3,0,0,83,0
538,3.0,1,36,3.0,7,1,0,71,0
539,2.0,1,37,3.0,4,0,0,50,0
540,2.0,2,39,3.0,4,0,0,73,0
541,2.0,1,37,5.0,6,0,0,59,0
543,3.0,1,40,3.0,12,0,0,70,0
544,2.0,1,30,5.0,3,1,0,52,0
545,3.0,1,36,4.0,7,0,0,56,0
546,2.0,1,27,2.0,4,0,0,57,0
547,2.0,1,29,1.0,4,0,0,57,0
548,2.0,7,31,3.0,5,1,0,82,0
549,3.0,1,36,4.0,7,1,0,67,0
550,2.0,1,30,4.0,4,0,0,57,0
551,3.0,2,32,3.0,6,1,0,86,0
552,2.0,1,29,5.0,2,0,0,50,0
554,3.0,2,38,1.0,8,0,0,47,0
555,3.0,1,51,3.0,15,0,0,71,0
556,3.0,1,32,3.0,8,0,0,58,0
557,3.0,1,36,3.0,5,1,0,83,0
558,2.0,2,30,5.0,5,1,0,57,0
559,2.0,1,26,3.0,5,0,0,56,0
560,2.0,2,32,5.0,3,1,0,83,1
561,2.0,2,26,3.0,3,0,0,50,0
562,2.0,1,30,4.0,2,0,0,83,0
563,2.0,1,28,1.0,2,0,0,50,0
564,2.0,1,40,3.0,18,1,0,55,1
565,2.0,1,33,1.0,6,0,0,66,0
568,2.0,1,30,4.0,2,1,0,61,0
569,3.0,1,37,3.0,9,0,0,44,0
571,2.0,2,31,3.0,2,0,0,84,0
572,2.0,1,43,3.0,3,0,0,48,0
573,3.0,1,39,1.0,10,1,0,52,1
575,3.0,1,41,2.0,12,0,0,71,0
576,3.0,1,35,5.0,4,1,0,85,0
578,3.0,3,33,2.0,7,0,0,53,0
579,3.0,1,35,3.0,3,0,0,47,0
580,2.0,1,30,2.0,8,1,1,50,0
581,2.0,1,29,3.0,2,0,0,68,0
582,2.0,1,28,5.0,2,1,0,50,0
583,3.0,1,48,5.0,15,1,0,61,0
584,2.0,1,31,3.0,3,0,0,79,0
585,2.0,1,26,1.0,3,1,0,50,0
588,3.0,1,38,3.0,2,1,0,61,0
590,3.0,1,49,1.0,24,0,0,77,0
593,2.0,1,35,5.0,7,0,0,48,0
594,2.0,2,46,3.0,3,0,0,59,0
595,3.0,1,34,2.0,6,0,0,69,0
596,2.0,2,30,1.0,3,1,0,59,0
598,3.0,1,49,3.0,17,0,0,48,0
599,3.0,1,35,3.0,5,0,0,68,0
600,3.0,1,34,4.0,4,0,0,83,0
601,2.0,7,26,2.0,5,0,0,46,0
603,3.0,1,37,3.0,4,0,0,58,0
604,2.0,2,25,4.0,2,0,0,80,0
605,2.0,1,47,4.0,16,1,0,48,1
606,2.0,1,28,2.0,5,0,0,85,0
607,2.0,1,32,5.0,10,1,0,48,0
608,2.0,1,34,3.0,4,0,0,71,0
610,2.0,1,32,2.0,6,0,0,59,0
611,3.0,2,32,2.0,5,0,0,72,0
612,2.0,1,29,4.0,3,0,0,52,0
613,2.0,1,32,4.0,4,1,1,57,1
614,2.0,5,27,3.0,2,0,0,52,0
615,2.0,1,34,5.0,4,1,0,51,0
616,3.0,1,36,3.0,8,0,0,48,0
617,2.0,1,26,5.0,2,1,0,59,0
618,3.0,1,33,4.0,3,1,0,94,1
619,3.0,1,47,1.0,3,0,0,45,0
620,2.0,1,42,3.0,2,0,0,48,0
621,3.0,1,38,1.0,8,0,0,54,0
622,2.0,4,32,5.0,8,0,0,93,1
623,2.0,1,44,3.0,16,0,0,70,0
624,3.0,1,33,4.0,5,1,0,46,0
625,2.0,2,27,3.0,3,0,0,55,0
626,3.0,2,50,5.0,14,0,0,85,0
627,2.0,2,29,3.0,4,0,0,71,0
628,2.0,1,29,5.0,4,0,0,84,1
630,2.0,1,44,5.0,7,1,0,84,0
631,2.0,1,32,4.0,2,1,0,61,0
632,3.0,2,30,3.0,6,0,0,83,0
633,2.0,1,37,5.0,4,1,0,59,0
634,2.0,1,37,3.0,5,1,0,59,0
635,2.0,1,32,1.0,4,0,0,52,0
636,2.0,1,36,3.0,2,0,0,66,0
637,2.0,2,34,3.0,4,1,0,62,0
638,2.0,1,30,3.0,3,0,0,65,0
640,3.0,1,31,1.0,2,0,0,51,0
641,2.0,1,41,5.0,7,0,0,83,0
642,3.0,1,33,2.0,7,0,0,57,0
643,2.0,1,25,4.0,3,0,0,58,0
644,2.0,1,39,3.0,6,1,0,58,0
645,2.0,1,31,3.0,6,0,0,70,0
646,3.0,1,56,2.0,16,0,0,79,0
647,2.0,1,30,1.0,3,0,0,50,0
648,2.0,2,29,5.0,5,1,0,63,1
649,3.0,1,31,4.0,3,0,0,50,0
650,3.0,2,28,4.0,2,0,0,82,0
651,2.0,2,30,2.0,3,0,0,82,0
652,2.0,1,30,1.0,2,0,0,84,0
653,2.0,1,29,4.0,6,1,0,65,0
654,2.0,1,31,3.0,3,1,0,60,0
655,2.0,1,30,3.0,6,1,0,84,1
657,2.0,1,44,5.0,4,1,0,60,0
658,3.0,1,31,1.0,6,0,0,70,0
659,2.0,1,35,4.0,3,0,0,77,0
660,3.0,1,41,3.0,3,0,0,73,0
661,2.0,1,33,5.0,7,1,0,47,0
