Media_Type,Amount,Loan_Types,Mercnt_Size,Failed_Trans,Freq_Trans,No_Trans,Last_mth_Tr,AM0PM1,Country
PA,776,Business,0,0,17,4,1,0,Other
PA,4809,Personal,0,0,34,4,4,1,UK
FT,2687,Personal,0,0,2,1,1,1,Other
BPAY,578,Personal,0,0,45,15,2,0,Other
PA,3245,Business,3245,0,3,2,1,0,Other
PA,2015,Personal,0,0,22,1,1,1,AU
PA,4922,Personal,0,0,4,2,2,0,AU
PA,4083,Personal,0,0,26,3,1,1,AU
PA,732,Personal,4092,0,36,6,1,0,Other
FT,488,Personal,0,0,4,2,1,0,Other
PA,689,Personal,2837,0,3,15,1,1,Other
PA,721,Personal,0,0,28,3,1,0,AU
OTT,9662,Business,0,0,5,5,2,0,Other
PA,7058,Business,0,0,49,2,2,0,AU
FT,1052,Other,0,0,7,1,1,1,Other
PA,4138,Personal,0,0,34,3,1,1,Other
PA,1427,Personal,0,0,42,15,1,1,AU
OTT,2003,Personal,0,0,5,2,1,1,AU
PA,62,Personal,0,0,33,3,1,0,Other
BPAY,611,Personal,611,458,27,9,1,1,Other
PA,9937,Personal,0,0,42,2,1,0,AU
PA,5399,Personal,0,0,3,15,1,1,Other
PA,195,Personal,0,0,4,2,2,0,Other
PA,8257,Personal,0,0,38,2,1,1,AU
PA,869,Personal,0,0,43,3,2,1,AU
PA,1171,Personal,0,0,27,13,1,1,Other
FT,127,Personal,0,0,47,3,1,1,Other
FT,4744,Credit,0,0,4,1,1,0,NL
PA,4365,Personal,0,0,44,3,1,1,Other
PA,3171,Personal,0,0,4,2,5,1,AU
PA,4999,Personal,0,0,31,4,2,0,AU
PA,2277,Personal,0,0,6,5,1,1,Other
PA,678,Personal,0,0,46,4,1,1,Other
FT,782,Personal,0,0,2,1,2,0,Other
PA,3703,Business,0,0,5,5,1,0,Other
PA,5884,Personal,0,0,3,4,1,0,Other
PA,541,Personal,0,0,37,4,2,1,Other
PA,4007,Personal,0,0,50,1,1,0,Other
FT,4291,Personal,0,0,3,1,2,0,Other
PA,1665,Personal,0,0,27,3,2,1,AU
FT,3697,Personal,0,0,5,13,1,0,AU
PA,1385,Personal,0,0,3,1,1,0,Other
PA,449,Personal,0,0,4,1,1,0,Other
PA,810,Personal,0,0,37,2,1,1,AU
PA,1424,Personal,0,0,4,2,2,0,ZA
PA,2805,Personal,61,0,5,5,2,1,Other
FT,426,Personal,0,0,7,2,1,0,Other
PA,767,Personal,0,0,11,1,1,1,AU
PA,470,Personal,0,0,6,1,2,0,Other
PA,2439,Personal,0,0,4,2,2,0,AU
FT,793,Personal,0,0,4,1,1,0,AU
PA,1100,Personal,0,0,8,3,1,0,Other
PA,2974,Personal,0,0,1,12,1,1,AU
PA,2446,Personal,0,0,6,2,1,0,AU
PA,1814,Personal,0,0,29,5,1,1,AU
PA,9074,Personal,0,0,4,1,1,0,Other
PA,1885,Personal,0,0,23,1,1,1,Other
PA,7261,Personal,0,0,7,2,1,1,AU
PA,10350,Personal,0,0,20,2,1,1,Other
PA,371,Personal,0,0,5,5,1,0,AU
PA,1889,Personal,0,0,6,1,1,0,AU
PA,5810,Personal,0,0,7,2,2,1,AU
OTT,5265,Personal,0,0,26,7,1,1,AU
PA,416,Business,0,0,42,5,1,0,AU
PA,1898,Personal,0,0,22,4,2,0,Other
FT,2020,Credit,0,0,4,2,1,1,Other
FT,2022,Home_Loan,0,0,19,2,1,1,AU
PA,55,Personal,0,0,1,3,1,0,Other
PA,9905,Personal,0,0,3,2,1,0,Other
PA,2211,Personal,0,0,4,1,1,0,Other
PA,3558,Personal,0,0,2,3,1,0,Other
FT,9325,Credit,0,0,23,1,2,1,AU
PA,2916,Personal,0,0,43,3,2,0,AU
PA,5409,Home_Loan,0,0,35,15,5,0,AU
PA,1330,Personal,0,0,4,3,1,1,Other
PA,25,Personal,0,0,20,2,3,0,Other
FT,613,Personal,0,0,9,3,1,0,Other
FT,1291,Credit,0,0,1,2,1,0,Other
OTT,325,Personal,0,0,2,3,1,1,Other
BPAY,3946,Home_Loan,0,0,2,4,1,0,Other
PA,1665,Personal,0,0,3,3,2,1,Other
PA,623,Personal,832,0,1,1,1,0,Other
PA,3007,Personal,0,0,4,6,1,0,Other
FT,1891,Business,0,0,30,2,1,1,Other
PA,99,Home_Loan,0,0,3,5,1,1,Other
FT,4465,Credit,0,0,7,3,1,1,Other
PA,3607,Business,0,0,6,2,1,0,Other
FT,3616,Credit,0,0,13,2,2,1,Other
FT,1712,Personal,0,0,50,7,1,1,Other
PA,672,Personal,0,0,37,4,1,0,AU
FT,2649,Business,0,0,1,5,2,0,Other
FT,88,Personal,0,0,2,1,2,1,AU
PA,1084,Personal,0,0,37,1,1,0,Other
FT,1088,Credit,0,0,5,3,2,0,Other
FT,878,Credit,0,0,5,2,5,0,AU
FT,5136,Personal,0,0,4,1,2,0,AU
FT,3040,Personal,0,0,8,1,1,0,Other
PA,5765,Personal,0,0,5,6,1,1,ZA
PA,9331,Personal,0,0,50,1,3,0,Other
PA,575,Personal,0,0,24,4,1,1,AU
PA,5491,Personal,0,0,8,4,1,1,AU
PA,919,Personal,0,0,2,7,1,0,UK
PA,4904,Personal,4904,0,2,2,1,0,NG
PA,2646,Business,0,0,37,2,1,0,Other
FT,10493,Credit,0,0,4,1,1,0,Other
BPAY,2095,Personal,0,0,31,2,2,1,AU
PA,7105,Personal,0,0,2,2,1,1,AU
PA,5809,Personal,0,0,6,1,1,1,Other
PA,1684,Home_Loan,1684,0,22,1,4,0,AU
FT,9026,Personal,0,0,38,1,2,0,AU
PA,8040,Personal,0,0,17,2,1,0,AU
FT,457,Credit,0,0,2,4,1,1,Other
OTT,2926,Business,0,0,34,6,1,1,AU
PA,7208,Personal,0,0,3,3,1,1,CZ
PA,2305,Personal,2305,0,1,1,1,0,Other
PA,1899,Personal,0,0,5,2,1,0,NL
PA,152,Personal,0,0,4,4,1,0,ZA
FT,3677,Personal,0,0,10,4,1,1,Other
PA,2853,Business,0,0,47,7,2,1,AU
PA,245,Personal,0,0,7,2,1,1,Other
PA,1014,Personal,0,0,44,4,1,1,AU
FT,246,Personal,0,0,14,13,5,0,Other
PA,4516,Home_Loan,0,0,4,1,1,0,AU
PA,773,Personal,0,0,5,4,1,0,Other
FT,8119,Personal,0,0,37,2,1,0,Other
PA,8515,Personal,0,0,7,3,1,1,Other
FT,901,Credit,0,0,13,4,2,1,AU
PA,1702,Home_Loan,0,0,6,4,1,1,Other
PA,608,Business,0,0,38,14,1,0,AU
BPAY,9669,Personal,0,0,4,4,1,0,AU
PA,3589,Business,0,0,7,4,5,0,Other
PA,8915,Personal,0,0,1,11,1,0,Other
FT,5743,Personal,0,0,5,1,5,0,Other
PA,4122,Personal,6915,0,20,2,1,1,Other
FT,1463,Personal,0,0,5,1,1,1,Other
PA,1768,Personal,0,0,8,1,1,1,AU
OTT,2607,Personal,0,0,39,3,1,0,AU
PA,1844,Personal,0,0,18,3,1,0,AU
FT,8209,Credit,0,0,45,3,2,0,Other
FT,4206,Credit,0,0,11,2,2,1,AU
PA,4180,Personal,4426,0,6,2,2,0,AU
PA,386,Personal,0,0,14,2,1,1,AU
PA,3096,Personal,0,0,3,6,3,1,AU
PA,8858,Personal,0,0,30,4,1,1,AU
PA,5768,Home_Loan,0,0,31,3,1,0,Other
PA,753,Personal,0,0,48,2,1,1,Other
PA,10501,Personal,0,0,2,2,2,1,AU
PA,328,Personal,0,0,3,2,1,0,Other
PA,371,Personal,0,0,1,4,2,1,AU
PA,1323,Business,1323,0,4,4,2,0,ZA
PA,2002,Home_Loan,0,0,31,5,1,1,Other
PA,7648,Business,2338,0,9,4,1,1,Other
PA,2497,Personal,0,0,8,4,1,0,AU
PA,63,Personal,0,0,4,2,1,0,Other
PA,1487,Personal,0,0,3,3,2,0,Other
PA,7547,Home_Loan,0,0,35,1,2,1,Other
FT,5286,Credit,0,0,9,2,1,0,AU
PA,2355,Personal,0,0,43,2,2,1,AU
PA,7204,Personal,0,0,7,1,1,1,Other
PA,197,Home_Loan,0,0,3,1,1,1,AU
FT,2138,Credit,0,0,10,2,2,1,CZ
PA,1919,Personal,1919,0,27,2,1,1,Other
PA,2194,Business,0,0,4,1,2,1,AU
PA,1299,Personal,0,0,3,1,1,0,Other
PA,6309,Personal,6309,0,7,5,2,1,Other
OTT,1507,Personal,0,0,6,1,1,0,Other
PA,3780,Personal,3780,0,7,2,2,0,Other
OTT,7110,Personal,0,0,28,1,1,1,AU
PA,6057,Business,0,0,31,2,1,1,Other
PA,9367,Personal,0,0,25,1,2,0,Other
PA,1610,Personal,0,0,7,2,1,1,AU
BPAY,7869,Personal,0,0,8,5,1,1,Other
FT,202,Credit,0,0,3,4,1,1,Other
PA,6736,Personal,6736,0,3,1,1,0,Other
FT,1338,Credit,0,0,1,1,1,1,Other
PA,6367,Personal,0,0,24,2,1,0,Other
PA,8727,Personal,0,0,4,1,2,1,Other
PA,9216,Personal,0,0,42,4,3,1,CZ
FT,9077,Personal,0,0,10,1,1,1,Other
PA,2214,Business,0,0,34,2,1,0,Other
PA,1024,Personal,0,0,18,1,1,1,Other
FT,197,Personal,0,0,9,3,1,0,Other
PA,3330,Personal,0,0,27,1,1,1,Other
OTT,2749,Business,0,0,32,3,1,0,Other
FT,3819,Personal,0,0,37,2,1,0,Other
PA,2186,Personal,0,0,3,3,1,0,AU
FT,601,Personal,0,0,50,2,1,1,AU
PA,9404,Personal,49,0,39,6,1,1,Other
PA,1267,Personal,0,0,42,4,2,1,Other
PA,2825,Personal,0,0,5,4,2,0,Other
FT,1222,Personal,0,0,7,4,1,0,AU
FT,197,Personal,0,0,4,1,1,0,AU
FT,1813,Home_Loan,0,0,2,6,1,1,AU
PA,9942,Personal,0,0,29,3,1,1,Other
PA,442,Personal,0,0,6,3,1,0,AU
FT,1803,Personal,0,0,4,4,2,1,Other
PA,3368,Personal,3368,0,19,15,1,1,AU
PA,6401,Personal,6401,0,24,2,1,0,AU
FT,4543,Personal,0,0,4,3,2,0,AU
PA,215,Personal,0,0,43,2,1,1,AU
OTT,576,Business,0,0,40,1,1,0,UK
OTT,7899,Personal,0,0,22,2,1,0,Other
PA,4868,Personal,0,0,2,1,1,1,AU
PA,974,Personal,0,0,50,2,4,0,Other
PA,4503,Personal,0,0,3,4,1,0,ZA
BPAY,3441,Credit,0,0,40,1,1,0,Other
PA,2815,Personal,0,0,6,1,1,0,Other
PA,1254,Personal,0,0,2,2,1,0,Other
PA,1241,Personal,0,0,7,2,4,1,AU
PA,2053,Personal,0,0,26,2,1,1,Other
PA,74,Home_Loan,0,0,9,2,1,0,Other
PA,637,Personal,0,0,46,1,1,0,AU
PA,3450,Personal,0,0,2,3,1,0,AU
PA,613,Personal,0,0,10,9,2,0,US
PA,61,Personal,0,0,30,1,1,0,AU
PA,10504,Personal,0,0,37,1,1,0,AU
FT,2379,Personal,0,0,1,2,2,1,UK
PA,6752,Home_Loan,0,0,33,2,1,1,AU
PA,9511,Personal,0,0,17,11,2,1,ZA
PA,4852,Personal,7002,0,9,2,1,0,Other
FT,2185,Personal,0,0,43,7,1,1,Other
PA,34,Personal,34,0,19,2,1,1,Other
FT,3129,Personal,0,0,3,3,1,0,Other
FT,5913,Personal,0,0,43,3,1,0,AU
PA,7525,Personal,0,0,2,4,1,0,Other
PA,2251,Personal,0,0,11,13,1,1,Other
PA,5932,Personal,0,0,5,4,2,1,AU
FT,724,Credit,0,0,38,5,1,1,AU
PA,1084,Personal,0,0,22,1,2,0,Other
PA,359,Personal,0,0,30,2,1,0,Other
PA,4838,Personal,0,0,5,3,2,0,NL
FT,1621,Credit,0,0,6,1,2,0,AU
FT,5427,Personal,0,0,10,1,2,0,Other
PA,6407,Personal,0,0,31,13,1,1,AU
PA,273,Personal,118,0,21,1,1,0,AU
BPAY,104,Credit,0,0,2,8,1,0,Other
PA,6882,Personal,665,0,2,5,1,1,Other
PA,1149,Personal,0,0,44,8,1,0,Other
PA,6247,Personal,0,0,1,1,1,0,AU
PA,6968,Personal,0,0,22,3,2,1,AU
PA,1063,Personal,0,0,23,2,1,1,NL
PA,5643,Personal,0,0,5,3,5,1,AU
FT,3081,Credit,0,0,8,3,1,0,Other
FT,5074,Personal,0,0,43,1,4,1,AU
FT,288,Personal,0,0,38,3,1,1,Other
PA,9006,Personal,0,0,6,2,1,0,Other
PA,5489,Personal,0,0,4,2,1,1,AU
PA,3461,Personal,0,0,30,3,1,1,Other
PA,6090,Personal,179,0,30,2,2,1,AU
FT,790,Personal,0,0,40,1,1,1,Other
PA,2884,Personal,3337,0,13,12,2,1,AU
FT,737,Credit,0,0,25,2,2,0,AU
PA,1686,Personal,0,0,4,1,1,1,AU
FT,2355,Personal,0,0,2,3,1,1,Other
PA,3239,Personal,0,0,15,1,1,1,Other
PA,567,Personal,0,0,3,3,1,1,AU
OTT,2680,Personal,0,0,39,3,2,1,Other
PA,2503,Personal,2503,0,1,2,2,1,ZA
PA,1978,Personal,0,0,6,11,1,0,AU
PA,8738,Personal,0,0,26,6,1,1,AU
PA,4417,Personal,0,0,9,2,1,0,Other
PA,236,Personal,0,0,7,3,2,0,Other
PA,1910,Personal,0,0,11,3,1,1,Other
PA,2061,Personal,0,0,2,2,2,0,Other
PA,9903,Personal,0,0,38,2,1,0,Other
FT,1121,Credit,0,0,6,5,1,0,Other
PA,97,Pers_Loan,0,0,2,3,1,1,AU
FT,10304,Personal,0,0,31,3,2,1,Other
FT,9580,Personal,0,0,8,2,1,0,AR
PA,2059,Personal,0,0,2,15,1,0,Other
PA,3586,Personal,0,0,23,2,1,0,AU
PA,6568,Personal,0,0,4,4,2,0,AU
PA,4902,Personal,0,0,2,1,1,0,Other
PA,3810,Personal,0,0,4,3,2,1,Other
PA,4331,Business,0,0,3,9,1,1,AU
FT,5008,Personal,0,0,5,3,1,0,ZA
PA,2338,Personal,0,0,5,5,2,1,Other
PA,5307,Personal,0,0,9,4,1,0,Other
PA,9210,Personal,0,0,3,3,1,1,AU
OTT,3121,Business,0,0,1,1,1,1,Other
BPAY,2608,Personal,0,0,42,6,1,0,AU
PA,1750,Personal,3569,0,3,2,1,0,Other
PA,6196,Personal,0,0,37,3,1,1,AU
PA,3219,Personal,0,0,17,2,2,0,Other
PA,121,Personal,6977,0,6,5,1,0,AU
PA,1576,Personal,0,0,2,1,1,0,ZA
PA,256,Personal,108,0,33,2,1,0,Other
PA,254,Home_Loan,0,0,36,11,1,1,Other
PA,7048,Personal,0,0,39,5,1,0,AU
PA,6389,Personal,3849,0,5,2,2,1,Other
OTT,5954,Personal,0,0,5,1,1,1,Other
PA,3753,Home_Loan,2889,0,2,3,1,1,AU
FT,1987,Personal,0,0,6,2,1,0,ZA
FT,10157,Credit,0,0,4,2,1,0,AU
PA,2707,Personal,0,0,5,4,1,0,Other
PA,6520,Personal,3572,0,2,3,1,0,AU
PA,2393,Personal,0,0,17,2,2,0,AU
PA,1508,Personal,0,0,36,6,1,1,Other
PA,5890,Personal,0,0,3,1,1,1,Other
FT,3994,Personal,0,0,5,3,1,0,Other
PA,2254,Personal,0,0,44,3,1,1,Other
PA,2462,Home_Loan,0,0,2,2,2,1,Other
PA,3065,Personal,0,0,35,2,3,0,AU
OTT,1640,Personal,0,0,8,2,2,1,Other
PA,4652,Personal,0,0,24,6,1,1,AU
PA,1904,Personal,0,0,39,3,4,0,Other
PA,3787,Personal,0,0,5,2,1,1,Other
PA,9528,Personal,0,0,6,2,1,0,AU
PA,6467,Personal,0,0,46,2,2,0,AU
FT,855,Personal,0,0,44,2,1,0,AU
PA,460,Personal,0,0,10,1,1,1,Other
PA,527,Home_Loan,5381,0,13,2,2,0,Other
BPAY,5635,Home_Loan,0,0,3,1,2,0,Other
FT,845,Personal,0,0,7,3,1,0,Other
PA,466,Personal,0,0,2,2,1,1,Other
PA,1980,Business,0,0,5,4,1,0,Other
PA,300,Home_Loan,0,0,29,2,1,1,Other
FT,5252,Credit,0,0,5,1,1,0,AU
FT,3076,Personal,0,0,5,3,1,0,Other
PA,829,Home_Loan,0,0,6,2,1,1,Other
OTT,3169,Personal,0,0,15,3,1,1,Other
PA,1156,Personal,0,0,19,2,2,0,Other
PA,1051,Personal,0,0,43,8,1,0,AU
FT,248,Personal,0,0,11,2,1,0,Other
PA,4183,Personal,0,0,1,4,1,1,Other
PA,1413,Personal,0,0,5,5,1,0,Other
PA,4005,Personal,0,0,38,2,4,1,AU
FT,8834,Personal,0,0,5,5,1,1,Other
PA,62,Personal,0,0,6,3,1,1,AU
PA,112,Personal,0,0,9,5,1,1,Other
FT,5210,Personal,0,0,2,6,1,0,Other
PA,432,Business,0,0,2,5,1,1,AU
FT,963,Personal,0,0,35,2,2,1,Other
FT,2524,Personal,0,0,45,5,2,1,Other
PA,237,Personal,237,0,4,5,1,0,AU
FT,306,Credit,0,0,44,4,1,1,Other
PA,2304,Home_Loan,0,0,8,2,1,0,Other
BPAY,5043,Business,0,0,3,2,1,1,AU
FT,3745,Personal,0,0,6,2,1,1,AU
PA,44,Personal,0,0,21,5,1,1,Other
PA,1218,Personal,0,0,3,11,4,1,Other
PA,3073,Personal,0,0,22,4,1,1,AU
PA,2709,Personal,0,0,45,2,1,0,Other
PA,9245,Personal,0,0,6,1,1,1,AU
PA,3723,Personal,3723,0,7,2,1,1,UK
PA,1351,Personal,0,0,9,3,1,1,Other
PA,4327,Business,0,0,44,4,1,0,Other
PA,703,Personal,0,0,20,2,2,1,Other
PA,507,Personal,0,0,14,3,2,1,AU
PA,4495,Personal,0,0,11,2,1,0,AU
PA,4114,Personal,0,0,7,3,1,1,Other
PA,10062,Personal,5365,0,7,3,2,0,AU
PA,72,Business,0,0,21,1,2,1,Other
OTT,3941,Personal,0,0,1,3,1,1,Other
PA,2150,Home_Loan,0,0,17,1,2,1,Other
PA,6235,Personal,0,0,1,1,1,1,AU
PA,1175,Personal,0,0,6,2,1,1,AU
FT,10804,Credit,0,0,6,3,1,1,AU
FT,101,Personal,0,0,5,3,2,0,AU
PA,966,Personal,0,0,38,3,1,0,Other
FT,4900,Credit,0,0,49,2,1,0,Other
FT,4035,Personal,0,0,25,4,5,0,AU
PA,2597,Personal,0,0,4,1,1,1,Other
PA,182,Personal,0,0,32,3,1,1,Other
PA,937,Personal,0,0,6,1,1,1,AU
OTT,34,Business,0,0,47,2,1,1,Other
OTT,2048,Personal,0,0,33,2,1,1,AU
PA,297,Personal,297,0,2,2,1,0,Other
BPAY,4376,Personal,0,0,50,5,1,1,Other
FT,8374,Personal,0,0,2,1,1,0,AU
PA,561,Personal,0,0,16,4,2,1,AU
PA,2584,Personal,0,0,10,12,2,1,Other
PA,4954,Personal,0,0,45,3,1,0,Other
PA,4262,Personal,0,0,1,1,2,0,Other
PA,793,Personal,0,0,3,13,1,1,Other
FT,274,Personal,0,0,20,1,1,1,AU
PA,5812,Personal,0,0,1,2,1,0,Other
FT,4789,Personal,0,0,3,2,1,0,Other
OTT,8554,Business,0,0,19,4,1,0,AU
FT,3401,Credit,0,0,45,2,3,0,Other
PA,47,Personal,0,0,24,1,1,1,Other
PA,1118,Personal,1118,0,7,3,2,0,AU
PA,2104,Personal,0,0,1,4,1,0,AU
BPAY,294,Personal,0,0,9,1,1,1,Other
PA,3879,Business,0,0,9,2,2,0,Other
PA,7130,Personal,0,0,2,2,1,0,AU
PA,3028,Personal,0,0,4,5,1,1,AU
FT,10208,Personal,0,0,1,3,1,1,AU
FT,2492,Personal,0,0,49,1,1,1,Other
OTT,916,Personal,0,0,1,3,1,0,AU
PA,7654,Business,0,0,13,2,2,0,Other
PA,1774,Personal,0,0,32,3,1,1,Other
PA,1370,Home_Loan,0,0,7,6,1,1,AU
BPAY,3750,Credit,0,0,5,2,1,0,AU
PA,4974,Personal,0,0,3,3,1,0,Other
PA,2974,Personal,2974,0,10,1,1,0,Other
FT,10950,Credit,0,0,1,2,1,1,Other
PA,1359,Personal,0,0,16,1,1,0,AU
PA,10697,Personal,1733,0,7,9,4,1,Other
FT,354,Personal,0,0,20,1,2,0,AU
PA,358,Personal,0,0,3,4,1,0,Other
FT,9663,Personal,0,0,1,2,1,0,Other
PA,2184,Home_Loan,0,0,47,2,1,1,AU
PA,34,Personal,0,0,33,2,2,0,Other
PA,1941,Home_Loan,0,0,5,2,1,0,Other
FT,1428,Credit,0,0,3,1,1,0,AU
FT,5224,Personal,0,0,8,10,1,0,Other
FT,535,Personal,0,0,5,1,2,1,Other
PA,7221,Personal,0,0,5,2,1,1,Other
PA,7262,Personal,0,0,4,2,1,1,Other
FT,1832,Credit,0,0,2,3,1,1,Other
PA,5656,Personal,6483,0,2,4,2,0,Other
PA,99,Home_Loan,0,0,4,2,1,1,AU
PA,8587,Personal,0,0,11,1,1,0,AU
FT,7201,Personal,0,0,8,2,4,0,ZA
FT,564,Personal,0,0,3,6,3,0,AU
PA,10209,Personal,0,0,11,3,1,0,Other
FT,595,Credit,0,0,6,1,1,1,Other
FT,5037,Personal,0,0,18,2,2,0,Other
PA,1460,Personal,0,0,4,1,1,0,Other
OTT,6533,Personal,0,0,5,1,2,1,Other
FT,179,Personal,0,0,16,6,1,1,AU
FT,4354,Personal,0,0,10,3,1,1,AU
PA,1223,Personal,0,0,2,2,2,0,UK
PA,845,Home_Loan,0,0,39,3,1,1,Other
OTT,6074,Personal,0,0,1,3,2,0,Other
PA,2190,Personal,0,0,20,2,1,1,Other
OTT,6157,Business,0,0,6,2,4,0,Other
PA,3964,Personal,0,0,48,2,1,1,AU
PA,2672,Personal,0,0,4,3,1,1,AU
OTT,3076,Personal,0,0,16,4,1,0,Other
BPAY,1806,Personal,0,0,50,5,1,0,AU
FT,48,Business,0,0,12,3,2,1,AU
FT,6052,Personal,0,0,16,4,1,1,Other
PA,826,Personal,0,0,35,1,1,0,AU
PA,6729,Personal,0,0,3,4,2,0,Other
FT,2657,Credit,0,0,7,3,2,0,Other
PA,1357,Personal,0,0,26,2,1,0,AU
PA,9772,Business,0,0,7,1,1,1,Other
PA,4867,Home_Loan,0,0,5,2,4,1,AU
PA,1958,Personal,1958,0,41,3,2,1,AU
PA,4951,Personal,0,0,5,3,2,0,Other
PA,1767,Personal,614,0,7,4,1,1,Other
PA,147,Personal,3883,0,3,2,1,0,Other
PA,1127,Personal,0,0,10,3,1,1,Other
PA,996,Personal,0,0,2,1,1,0,Other
PA,507,Personal,3329,0,23,5,2,0,Other
PA,3353,Personal,0,0,8,2,1,0,Other
PA,134,Home_Loan,0,0,7,2,1,1,Other
PA,2165,Personal,993,0,43,6,1,1,Other
FT,1174,Personal,0,0,5,10,1,0,Other
PA,4440,Personal,0,0,5,1,1,1,AU
PA,1350,Personal,0,0,25,1,1,0,Other
FT,1112,Personal,0,0,2,2,2,1,Other
PA,1316,Personal,0,0,39,4,1,0,Other
FT,210,Credit,0,0,2,4,1,1,Other
FT,3177,Credit,0,0,9,1,2,1,Other
PA,245,Personal,0,0,8,3,4,0,Other
PA,613,Personal,0,0,7,2,4,1,AU
PA,1761,Personal,0,0,7,1,1,0,Other
FT,1016,Personal,0,0,1,1,1,1,Other
FT,6305,Credit,0,0,7,6,1,1,AU
PA,1910,Home_Loan,0,0,36,1,1,1,Other
OTT,6566,Personal,0,0,3,2,2,0,Other
PA,10401,Personal,0,0,49,15,1,0,AU
FT,319,Personal,0,0,6,5,1,1,Other
FT,9582,Personal,0,0,6,1,1,0,Other
FT,948,Personal,0,0,6,3,1,0,Other
PA,841,Personal,841,0,9,1,2,0,Other
BPAY,799,Personal,0,0,9,2,1,0,AU
PA,399,Personal,0,0,5,1,1,0,AU
PA,7030,Personal,0,0,2,2,1,0,Other
PA,2249,Personal,0,0,2,2,1,1,AU
OTT,81,Personal,5465,0,4,3,1,0,AU
FT,166,Credit,0,0,1,2,3,1,Other
PA,1124,Personal,0,0,2,15,1,0,AU
PA,399,Personal,0,0,8,2,1,1,AU
FT,5386,Personal,0,0,17,1,3,0,AU
PA,1872,Personal,0,0,5,2,1,1,AU
PA,8297,Personal,0,0,6,1,2,0,Other
PA,4183,Personal,0,0,3,1,1,0,AU
PA,2418,Personal,0,0,2,6,5,0,Other
FT,4923,Personal,0,0,18,5,2,1,Other
PA,9525,Home_Loan,0,0,32,2,1,0,Other
PA,545,Personal,0,0,11,2,1,0,AU
PA,537,Personal,0,0,50,2,2,1,AU
PA,2061,Personal,0,0,8,2,1,0,AU
BPAY,3144,Personal,0,0,21,11,2,0,Other
PA,245,Personal,245,0,13,2,1,1,Other
PA,490,Personal,0,0,3,12,2,0,Other
PA,1097,Personal,0,0,5,5,1,1,Other
PA,980,Personal,0,0,6,4,1,1,Other
OTT,522,Personal,0,0,4,1,1,0,AU
BPAY,10206,Business,0,0,30,3,1,1,Other
FT,3649,Credit,0,0,4,3,1,1,Other
BPAY,7315,Home_Loan,0,0,2,2,2,0,AU
PA,5508,Personal,0,0,1,4,1,0,Other
PA,3390,Business,0,0,20,2,1,0,AU
PA,6426,Personal,6426,0,2,2,5,0,Other
